"Homologation","Homologação"
"Production","Produção"
"Enabled","Habilitado"
"Title","Título"
"Environment","Ambiente"
"Username","Usuário"
"Password","Senha"
"New Order Status","Status Novo Pedido"
"Retry Deadline","Prazo de Nova Tentativa"
"Sort Order","Ordenação"
"Enabled Transparent Checkout","Habilitar Checkout Transparente"
"Your payment will start soon, a pop-up will open to you complete the payment. Please wait.","Seu pagamento irá iniciar em breve, um pop-up irá abrir para você completar o pagamento. Por favor aguarde."
"Pix UpFront","Pix à Vista"
"PIX UpFront","PIX à Vista"
"Pagaleve - PIX UpFront","Pagaleve - PIX à Vista"
"Pagaleve - PIX paid in 4x","Pagaleve - PIX parcelado em 4x"
"Module Version","Versão do Módulo"
"Secret Key","Chave Secreta"
